"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Dhule","67 (2017)"
"Buldana","63 (2017)"
"Akola","62.8 (2017)"
"Amravati","59.1 (2017)"
"Bhandara","55.6 (2017)"
"Gondiya","52 (2017)"
"Garhchiroli","67.1 (2017)"
"Chandrapur","52.2 (2017)"
"Aurangabad","61.1 (2017)"
"Ahmadnagar","69.7 (2017)"
"Bid","66.3 (2017)"
"Nandurbar","59.6 (2017)"
"Jalgaon","63 (2017)"
"Nagpur","57.1 (2017)"
"Nanded","60.3 (2017)"
"Hingoli","70.7 (2017)"
"Parbhani","63.4 (2017)"
"Jalna","53.8 (2017)"
"Nashik","59.1 (2017)"
"Mumbai Suburban","52.8 (2017)"
"Mumbai City","60.9 (2017)"
"Raigarh","62.8 (2017)"
"Pune","63.2 (2017)"
"Latur","63.9 (2017)"
"Osmanabad","67.7 (2017)"
"Kolhapur","68.2 (2017)"
"Solapur","65.1 (2017)"
"Satara","71.3 (2017)"
"Ratnagiri","74.9 (2017)"
"Sindhudurg","76.1 (2017)"
"Sangli","65.1 (2017)"
"Washim","62.3 (2017)"
"Wardha","52.4 (2017)"
"Yavatmal","49.7 (2017)"
"Thane","57 (2017)"
