"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Dhule","65.1 (2017)"
"Buldana","61.1 (2017)"
"Akola","61.3 (2017)"
"Amravati","56.4 (2017)"
"Bhandara","54.9 (2017)"
"Gondiya","51.3 (2017)"
"Garhchiroli","67.5 (2017)"
"Chandrapur","49.6 (2017)"
"Aurangabad","59.1 (2017)"
"Ahmadnagar","66.5 (2017)"
"Bid","65.8 (2017)"
"Nandurbar","60.1 (2017)"
"Jalgaon","61.5 (2017)"
"Nagpur","55.4 (2017)"
"Nanded","59.6 (2017)"
"Hingoli","70.2 (2017)"
"Parbhani","63.3 (2017)"
"Jalna","53 (2017)"
"Nashik","58.6 (2017)"
"Mumbai Suburban","50.9 (2017)"
"Mumbai City","58.4 (2017)"
"Raigarh","58.8 (2017)"
"Pune","62.2 (2017)"
"Latur","61.1 (2017)"
"Osmanabad","66.1 (2017)"
"Kolhapur","64.4 (2017)"
"Solapur","63.7 (2017)"
"Satara","68.2 (2017)"
"Ratnagiri","73 (2017)"
"Sindhudurg","74.6 (2017)"
"Sangli","63.3 (2017)"
"Washim","62.9 (2017)"
"Wardha","50.3 (2017)"
"Yavatmal","49.4 (2017)"
"Thane","55.9 (2017)"
