"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Bargarh","49.9 (2017)"
"Baleshwar","60 (2017)"
"Bhadrak","53.5 (2017)"
"Cuttack","64.1 (2017)"
"Anugul","56.2 (2017)"
"Baudh","48.8 (2017)"
"Balangir","56.4 (2017)"
"Jharsuguda","47.5 (2017)"
"Debagarh","50.4 (2017)"
"Kendujhar","46.2 (2017)"
"Kendrapara","48.5 (2017)"
"Jagatsinghapur","75.8 (2017)"
"Jajapur","54.9 (2017)"
"Dhenkanal","46.4 (2017)"
"Khordha","52.8 (2017)"
"Ganjam","58.5 (2017)"
"Gajapati","45.1 (2017)"
"Kandhamal","42.1 (2017)"
"Kalahandi","48.5 (2017)"
"Koraput","38.7 (2017)"
"Sambalpur","36.6 (2017)"
"Sundargarh","45.3 (2017)"
"Mayurbhanj","41.8 (2017)"
"Nayagarh","57 (2017)"
"Puri","57.7 (2017)"
"Subarnapur","46.6 (2017)"
"Nuapada","48 (2017)"
"Rayagada","40.2 (2017)"
"Nabarangapur","54.7 (2017)"
"Malkangiri","49.8 (2017)"
