"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Faridkot","51.7 (2017)"
"Bathinda","40.1 (2017)"
"Amritsar","53.4 (2017)"
"Barnala","45.3 (2017)"
"Gurdaspur","62.8 (2017)"
"Kapurthala","54.4 (2017)"
"Jalandhar","54.5 (2017)"
"Hoshiarpur","53 (2017)"
"Shahid Bhagat Singh Nagar","53.3 (2017)"
"Fatehgarh Sahib","47.5 (2017)"
"Ludhiana","46.1 (2017)"
"Moga","54.7 (2017)"
"Firozpur","62.9 (2017)"
"Muktsar","46.8 (2017)"
"Mansa","48.3 (2017)"
"Patiala","45.2 (2017)"
"Tarn Taran","50.1 (2017)"
"Rupnagar","44.9 (2017)"
"Sahibzada Ajit Singh Nagar","50.1 (2017)"
"Sangrur","54.8 (2017)"
