"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Faridkot","50.4 (2017)"
"Bathinda","37.4 (2017)"
"Amritsar","53.3 (2017)"
"Barnala","42 (2017)"
"Gurdaspur","58.3 (2017)"
"Kapurthala","53.3 (2017)"
"Jalandhar","50.8 (2017)"
"Hoshiarpur","54.2 (2017)"
"Shahid Bhagat Singh Nagar","54.6 (2017)"
"Fatehgarh Sahib","42.4 (2017)"
"Ludhiana","44.9 (2017)"
"Moga","54.5 (2017)"
"Firozpur","58.6 (2017)"
"Muktsar","44.8 (2017)"
"Mansa","44.6 (2017)"
"Patiala","43.6 (2017)"
"Tarn Taran","47.7 (2017)"
"Rupnagar","44.6 (2017)"
"Sahibzada Ajit Singh Nagar","47 (2017)"
"Sangrur","51.8 (2017)"
