"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Faridkot","51 (2017)"
"Bathinda","38.7 (2017)"
"Amritsar","53.4 (2017)"
"Barnala","43.8 (2017)"
"Gurdaspur","60.6 (2017)"
"Kapurthala","53.9 (2017)"
"Jalandhar","52.7 (2017)"
"Hoshiarpur","53.6 (2017)"
"Shahid Bhagat Singh Nagar","54 (2017)"
"Fatehgarh Sahib","44.6 (2017)"
"Ludhiana","45.5 (2017)"
"Moga","54.6 (2017)"
"Firozpur","60.8 (2017)"
"Muktsar","45.7 (2017)"
"Mansa","46.3 (2017)"
"Patiala","44.4 (2017)"
"Tarn Taran","48.9 (2017)"
"Rupnagar","44.8 (2017)"
"Sahibzada Ajit Singh Nagar","48.5 (2017)"
"Sangrur","53.3 (2017)"
