"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Ajmer","72.2 (2017)"
"Ganganagar","67.9 (2017)"
"Hanumangarh","71 (2017)"
"Bikaner","67.8 (2017)"
"Churu","72.7 (2017)"
"Alwar","67.8 (2017)"
"Bharatpur","72.6 (2017)"
"Dhaulpur","75.3 (2017)"
"Dausa","73.5 (2017)"
"Jaipur","76.2 (2017)"
"Barmer","73 (2017)"
"Bundi","67.9 (2017)"
"Bhilwara","62.9 (2017)"
"Dungarpur","65.4 (2017)"
"Banswara","57.1 (2017)"
"Chittaurgarh","67.4 (2017)"
"Baran","67.4 (2017)"
"Jhunjhunun","77 (2017)"
"Karauli","62.9 (2017)"
"Sawai Madhopur","67.9 (2017)"
"Sikar","67.1 (2017)"
"Nagaur","77.6 (2017)"
"Jodhpur","75.2 (2017)"
"Jaisalmer","71.8 (2017)"
"Jalor","70.9 (2017)"
"Sirohi","63.2 (2017)"
"Pali","66.1 (2017)"
"Tonk","66.6 (2017)"
"Rajsamand","69.8 (2017)"
"Kota","67 (2017)"
"Jhalawar","73.3 (2017)"
"Pratapgarh","62.6 (2017)"
"Udaipur","67.2 (2017)"
