"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Ajmer","72.4 (2017)"
"Ganganagar","63.8 (2017)"
"Hanumangarh","66 (2017)"
"Bikaner","67.8 (2017)"
"Churu","72.2 (2017)"
"Alwar","64.2 (2017)"
"Bharatpur","73.7 (2017)"
"Dhaulpur","77 (2017)"
"Dausa","77.1 (2017)"
"Jaipur","73.7 (2017)"
"Barmer","73.2 (2017)"
"Bundi","69.8 (2017)"
"Bhilwara","64.2 (2017)"
"Dungarpur","62.2 (2017)"
"Banswara","58.5 (2017)"
"Chittaurgarh","65 (2017)"
"Baran","67.6 (2017)"
"Jhunjhunun","76.1 (2017)"
"Karauli","63.9 (2017)"
"Sawai Madhopur","66.4 (2017)"
"Sikar","69.2 (2017)"
"Nagaur","74.9 (2017)"
"Jodhpur","73.3 (2017)"
"Jaisalmer","72.3 (2017)"
"Jalor","70 (2017)"
"Sirohi","61 (2017)"
"Pali","62.9 (2017)"
"Tonk","68.4 (2017)"
"Rajsamand","70.8 (2017)"
"Kota","69.1 (2017)"
"Jhalawar","73.1 (2017)"
"Pratapgarh","57.6 (2017)"
"Udaipur","65.6 (2017)"
