"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Ajmer","72.3 (2017)"
"Ganganagar","65.8 (2017)"
"Hanumangarh","68.7 (2017)"
"Bikaner","67.8 (2017)"
"Churu","72.5 (2017)"
"Alwar","66.2 (2017)"
"Bharatpur","73.1 (2017)"
"Dhaulpur","76.1 (2017)"
"Dausa","75 (2017)"
"Jaipur","75.1 (2017)"
"Barmer","73.1 (2017)"
"Bundi","68.8 (2017)"
"Bhilwara","63.6 (2017)"
"Dungarpur","63.8 (2017)"
"Banswara","57.8 (2017)"
"Chittaurgarh","66.2 (2017)"
"Baran","67.5 (2017)"
"Jhunjhunun","76.6 (2017)"
"Karauli","63.3 (2017)"
"Sawai Madhopur","67.3 (2017)"
"Sikar","68 (2017)"
"Nagaur","76.4 (2017)"
"Jodhpur","74.3 (2017)"
"Jaisalmer","72.1 (2017)"
"Jalor","70.5 (2017)"
"Sirohi","62.2 (2017)"
"Pali","64.8 (2017)"
"Tonk","67.3 (2017)"
"Rajsamand","70.3 (2017)"
"Kota","68 (2017)"
"Jhalawar","73.2 (2017)"
"Pratapgarh","60 (2017)"
"Udaipur","66.3 (2017)"
