"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Chennai","53.7 (2017)"
"Kancheepuram","63 (2017)"
"Erode","65 (2017)"
"Dindigul","63.3 (2017)"
"Cuddalore","51 (2017)"
"Kanniyakumari","61.1 (2017)"
"Dharmapuri","61 (2017)"
"Coimbatore","56.9 (2017)"
"Thiruvallur","60.9 (2017)"
"Salem","55 (2017)"
"Namakkal","54.5 (2017)"
"The Nilgiris","52.8 (2017)"
"Karur","58.3 (2017)"
"Perambalur","64.5 (2017)"
"Nagappattinam","58.8 (2017)"
"Thiruvarur","56.2 (2017)"
"Thanjavur","56 (2017)"
"Pudukkottai","59 (2017)"
"Sivaganga","62 (2017)"
"Madurai","51.4 (2017)"
"Theni","53.8 (2017)"
"Ramanathapuram","61.1 (2017)"
"Vellore","58.5 (2017)"
"Tiruvannamalai","57.2 (2017)"
"Viluppuram","61.1 (2017)"
"Tiruchirappalli","52.6 (2017)"
"Virudunagar","55.6 (2017)"
"Thoothukkudi","60.1 (2017)"
"Tirunelveli","61.4 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
