"","Average Performance of Students in Language in Class 5, Percent (Female)"
"Aligarh","65.7 (2017)"
"Agra","56.5 (2017)"
"Allahabad","56.3 (2017)"
"Ambedkar Nagar","71.6 (2017)"
"Bijnor","63.2 (2017)"
"Amroha","67.7 (2017)"
"Baghpat","61.8 (2017)"
"Budaun","50.9 (2017)"
"Bareilly","52.3 (2017)"
"Auraiya","59.3 (2017)"
"Banda","37.7 (2017)"
"Bara banki","67.4 (2017)"
"Bahraich","49.1 (2017)"
"Balrampur","52.4 (2017)"
"Basti","41.6 (2017)"
"Azamgarh","64 (2017)"
"Ballia","45.9 (2017)"
"Ghaziabad","61.1 (2017)"
"Gautam Buddha Nagar","66 (2017)"
"Bulandshahr","44.1 (2017)"
"Firozabad","58 (2017)"
"Farrukhabad","53.1 (2017)"
"Etawah","63.9 (2017)"
"Chitrakoot","59.7 (2017)"
"Fatehpur","22 (2017)"
"Faizabad","56.9 (2017)"
"Deoria","56.7 (2017)"
"Ghazipur","57 (2017)"
"Chandauli","57.3 (2017)"
"Etah","67 (2017)"
"Hathras","36.1 (2017)"
"Hardoi","51.6 (2017)"
"Kannauj","42.9 (2017)"
"Kanpur Dehat","31.9 (2017)"
"Kanpur Nagar","56.9 (2017)"
"Jalaun","52.9 (2017)"
"Jhansi","41.8 (2017)"
"Hamirpur","50.6 (2017)"
"Gonda","59.5 (2017)"
"Gorakhpur","55.5 (2017)"
"Jaunpur","58.3 (2017)"
"Kasganj","34.7 (2017)"
"Muzaffarnagar","26.7 (2017)"
"Moradabad","58.3 (2017)"
"Meerut","64.7 (2017)"
"Mathura","39.8 (2017)"
"Mainpuri","29.7 (2017)"
"Kheri","28.4 (2017)"
"Lucknow","32.3 (2017)"
"Lalitpur","52.1 (2017)"
"Mahoba","39.2 (2017)"
"Kaushambi","19.8 (2017)"
"Mahrajganj","27.3 (2017)"
"Kushinagar","55.8 (2017)"
"Mau","34.6 (2017)"
"Mirzapur","57 (2017)"
"Saharanpur","28.3 (2017)"
"Rampur","49.6 (2017)"
"Pilibhit","48 (2017)"
"Shahjahanpur","49.5 (2017)"
"Sitapur","56.6 (2017)"
"Rae Bareli","34.9 (2017)"
"Pratapgarh","45.7 (2017)"
"Sultanpur","36.7 (2017)"
"Shrawasti","37.4 (2017)"
"Siddharth Nagar","59.2 (2017)"
"Sant Kabir Nagar","57.9 (2017)"
"Sant Ravidas Nagar (Bhadohi)","58.5 (2017)"
"Sonbhadra","39.8 (2017)"
"Unnao","55.1 (2017)"
"Varanasi","27.9 (2017)"
