"","Average Performance of Students in Language in Class 5, Percent (Male)"
"Bankura","59.2 (2017)"
"Jalpaiguri","37.5 (2017)"
"Koch Bihar","56.7 (2017)"
"Dakshin Dinajpur","53 (2017)"
"Birbhum","50.2 (2017)"
"Hugli","61.4 (2017)"
"Haora","59.7 (2017)"
"Maldah","53.4 (2017)"
"Murshidabad","56.4 (2017)"
"Nadia","51.7 (2017)"
"North Twenty Four Parganas","58.3 (2017)"
"Kolkata","66.5 (2017)"
"Paschim Medinipur","62.6 (2017)"
"Purba Medinipur","62.7 (2017)"
"Uttar Dinajpur","50.3 (2017)"
"Puruliya","51.4 (2017)"
"South Twenty Four Parganas","64.4 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
