"","Average Performance of Students in Language in Class 5, Percent (Total)"
"Bankura","58.4 (2017)"
"Jalpaiguri","38.8 (2017)"
"Koch Bihar","56.7 (2017)"
"Dakshin Dinajpur","52.5 (2017)"
"Birbhum","50.2 (2017)"
"Hugli","62 (2017)"
"Haora","60.2 (2017)"
"Maldah","56.3 (2017)"
"Murshidabad","56.4 (2017)"
"Nadia","54.1 (2017)"
"North Twenty Four Parganas","58.5 (2017)"
"Kolkata","68.1 (2017)"
"Paschim Medinipur","61.3 (2017)"
"Purba Medinipur","63.4 (2017)"
"Uttar Dinajpur","50.5 (2017)"
"Puruliya","52.2 (2017)"
"South Twenty Four Parganas","63.3 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
