"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Barpeta","67.4 (2017)"
"Cachar","63.7 (2017)"
"Bongaigaon","73.1 (2017)"
"Baksa","64.7 (2017)"
"Kokrajhar","71.2 (2017)"
"Dhubri","67.9 (2017)"
"Goalpara","61.2 (2017)"
"Morigaon","71.1 (2017)"
"Nagaon","73.7 (2017)"
"Sonitpur","52.8 (2017)"
"Lakhimpur","66 (2017)"
"Dhemaji","46 (2017)"
"Tinsukia","52.4 (2017)"
"Dibrugarh","48.7 (2017)"
"Sivasagar","60 (2017)"
"Jorhat","55.7 (2017)"
"Golaghat","52.4 (2017)"
"Karbi Anglong","52 (2017)"
"Dima Hasao","60.1 (2017)"
"Karimganj","61.8 (2017)"
"Hailakandi","68.3 (2017)"
"Chirang","57.6 (2017)"
"Kamrup","61.1 (2017)"
"Kamrup Metropolitan","59.4 (2017)"
"Nalbari","63.5 (2017)"
"Darrang","61.8 (2017)"
"Udalguri","61 (2017)"
