"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Barpeta","69.6 (2017)"
"Cachar","62.9 (2017)"
"Bongaigaon","74.4 (2017)"
"Baksa","62.6 (2017)"
"Kokrajhar","68.6 (2017)"
"Dhubri","68.7 (2017)"
"Goalpara","59.3 (2017)"
"Morigaon","71.7 (2017)"
"Nagaon","71.4 (2017)"
"Sonitpur","55.3 (2017)"
"Lakhimpur","64.9 (2017)"
"Dhemaji","47.6 (2017)"
"Tinsukia","53.4 (2017)"
"Dibrugarh","50 (2017)"
"Sivasagar","58.3 (2017)"
"Jorhat","51.7 (2017)"
"Golaghat","51.4 (2017)"
"Karbi Anglong","51.1 (2017)"
"Dima Hasao","57.5 (2017)"
"Karimganj","61.5 (2017)"
"Hailakandi","69.1 (2017)"
"Chirang","60.8 (2017)"
"Kamrup","60 (2017)"
"Kamrup Metropolitan","57.2 (2017)"
"Nalbari","64 (2017)"
"Darrang","61.7 (2017)"
"Udalguri","63 (2017)"
