"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Araria","52.2 (2017)"
"Banka","49.3 (2017)"
"Aurangabad","54.3 (2017)"
"Arwal","54.6 (2017)"
"Katihar","51.8 (2017)"
"Darbhanga","41.7 (2017)"
"Gopalganj","53.7 (2017)"
"Begusarai","52.3 (2017)"
"Khagaria","53.2 (2017)"
"Bhagalpur","53.2 (2017)"
"Bhojpur","49.9 (2017)"
"Buxar","49 (2017)"
"Kaimur","56.5 (2017)"
"Gaya","53.7 (2017)"
"Jamui","48.7 (2017)"
"Jehanabad","47.3 (2017)"
"Pashchim Champaran","53.9 (2017)"
"Purba Champaran","49.5 (2017)"
"Madhubani","51 (2017)"
"Kishanganj","47.4 (2017)"
"Madhepura","54.9 (2017)"
"Muzaffarpur","47.8 (2017)"
"Munger","49.1 (2017)"
"Lakhisarai","54.7 (2017)"
"Nalanda","53.8 (2017)"
"Patna","55.5 (2017)"
"Nawada","52.1 (2017)"
"Sheohar","56.4 (2017)"
"Sitamarhi","44.5 (2017)"
"Supaul","52.6 (2017)"
"Purnia","52.2 (2017)"
"Saharsa","45.6 (2017)"
"Siwan","58 (2017)"
"Saran","55.8 (2017)"
"Vaishali","48.3 (2017)"
"Samastipur","57.5 (2017)"
"Sheikhpura","47 (2017)"
"Rohtas","54.6 (2017)"
