"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Araria","53 (2017)"
"Banka","49.2 (2017)"
"Aurangabad","55.2 (2017)"
"Arwal","55 (2017)"
"Katihar","51.9 (2017)"
"Darbhanga","42.5 (2017)"
"Gopalganj","54.1 (2017)"
"Begusarai","51.7 (2017)"
"Khagaria","52.6 (2017)"
"Bhagalpur","52.6 (2017)"
"Bhojpur","49.1 (2017)"
"Buxar","48.3 (2017)"
"Kaimur","57.1 (2017)"
"Gaya","53.6 (2017)"
"Jamui","49.2 (2017)"
"Jehanabad","47.8 (2017)"
"Pashchim Champaran","54 (2017)"
"Purba Champaran","49.4 (2017)"
"Madhubani","51 (2017)"
"Kishanganj","47.7 (2017)"
"Madhepura","53.1 (2017)"
"Muzaffarpur","49.3 (2017)"
"Munger","49.2 (2017)"
"Lakhisarai","54.5 (2017)"
"Nalanda","53.5 (2017)"
"Patna","53.9 (2017)"
"Nawada","52.9 (2017)"
"Sheohar","55.9 (2017)"
"Sitamarhi","46.3 (2017)"
"Supaul","53.2 (2017)"
"Purnia","53.2 (2017)"
"Saharsa","45.5 (2017)"
"Siwan","57.5 (2017)"
"Saran","55.9 (2017)"
"Vaishali","48.4 (2017)"
"Samastipur","56 (2017)"
"Sheikhpura","47.3 (2017)"
"Rohtas","53.4 (2017)"
