"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Koriya","43.5 (2017)"
"Jashpur","56 (2017)"
"Raigarh","47.9 (2017)"
"Korba","48 (2017)"
"Janjgir-Champa","41.3 (2017)"
"Bilaspur","41.1 (2017)"
"Kabeerdham","47.7 (2017)"
"Durg","48.7 (2017)"
"Raipur","44.1 (2017)"
"Mahasamund","38 (2017)"
"Dhamtari","39.5 (2017)"
"Bastar","43.7 (2017)"
"Narayanpur","45.8 (2017)"
"Dantewada","38.3 (2017)"
"Bijapur","41.3 (2017)"
"Surguja","59.5 (2017)"
"Rajnandgaon","49.1 (2017)"
"Uttar Bastar Kanker","39.4 (2017)"
