"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Banas Kantha","64.2 (2017)"
"Gandhinagar","55.1 (2017)"
"Ahmadabad","54.9 (2017)"
"Amreli","55.2 (2017)"
"Bhavnagar","63.6 (2017)"
"Anand","38.2 (2017)"
"Dahod","60.8 (2017)"
"Bharuch","48.3 (2017)"
"Kachchh","55.7 (2017)"
"Patan","57.1 (2017)"
"Mahesana","59.3 (2017)"
"Sabar Kantha","58.3 (2017)"
"Surendranagar","46.9 (2017)"
"Rajkot","59.8 (2017)"
"Jamnagar","52.9 (2017)"
"Porbandar","54.7 (2017)"
"Junagadh","56.7 (2017)"
"Kheda","59.7 (2017)"
"Panch Mahals","63.9 (2017)"
"Narmada","45 (2017)"
"The Dangs","56.3 (2017)"
"Navsari","59.4 (2017)"
"Surat","63.6 (2017)"
"Tapi","61.2 (2017)"
"Vadodara","50.9 (2017)"
"Valsad","57.4 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
