"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Banas Kantha","64.4 (2017)"
"Gandhinagar","55.6 (2017)"
"Ahmadabad","55.8 (2017)"
"Amreli","55.7 (2017)"
"Bhavnagar","63 (2017)"
"Anand","37.9 (2017)"
"Dahod","61.9 (2017)"
"Bharuch","47.7 (2017)"
"Kachchh","55 (2017)"
"Patan","58.6 (2017)"
"Mahesana","60.6 (2017)"
"Sabar Kantha","57 (2017)"
"Surendranagar","47.8 (2017)"
"Rajkot","59.5 (2017)"
"Jamnagar","50.8 (2017)"
"Porbandar","55.1 (2017)"
"Junagadh","57.2 (2017)"
"Kheda","60.9 (2017)"
"Panch Mahals","65 (2017)"
"Narmada","45.8 (2017)"
"The Dangs","56.9 (2017)"
"Navsari","60.5 (2017)"
"Surat","63 (2017)"
"Tapi","59.8 (2017)"
"Vadodara","52.1 (2017)"
"Valsad","55.3 (2017)"
"Rann of Kachchh",""
"Ahmadabad - Sandy/Mud area",""
"Little Rann",""
"Jamnagar - Rocky area",""
"Junagadh - Sandy/Mud area",""
"Amreli - Sandy/Mud area",""
"Bhavnagar - Sandy/Mud area",""
"Anand - Sandy/Mud area",""
"Bharuch - Sandy/Mud area",""
"Navsari - Sandy/Mud area",""
"Valsad - Sandy/Mud area",""
"Surat - Sandy/Mud area",""
