"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Panchkula","40.5 (2017)"
"Ambala","41 (2017)"
"Kurukshetra","45.4 (2017)"
"Kaithal","51.3 (2017)"
"Karnal","39.9 (2017)"
"Panipat","43.9 (2017)"
"Sonipat","43.3 (2017)"
"Jind","37 (2017)"
"Fatehabad","42.7 (2017)"
"Sirsa","51.3 (2017)"
"Hisar","44.8 (2017)"
"Bhiwani","48.5 (2017)"
"Rohtak","48.5 (2017)"
"Jhajjar","60.6 (2017)"
"Mahendragarh","51.6 (2017)"
"Rewari","54.1 (2017)"
"Gurgaon","49.7 (2017)"
"Mewat","37.2 (2017)"
"Faridabad","53.6 (2017)"
"Palwal","44.4 (2017)"
"Yamunanagar","41.4 (2017)"
