"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Panchkula","41.8 (2017)"
"Ambala","42.2 (2017)"
"Kurukshetra","46.9 (2017)"
"Kaithal","50.1 (2017)"
"Karnal","41 (2017)"
"Panipat","44 (2017)"
"Sonipat","45.1 (2017)"
"Jind","39.3 (2017)"
"Fatehabad","43.7 (2017)"
"Sirsa","50.8 (2017)"
"Hisar","42.6 (2017)"
"Bhiwani","47.4 (2017)"
"Rohtak","48.5 (2017)"
"Jhajjar","60.1 (2017)"
"Mahendragarh","53.4 (2017)"
"Rewari","53.6 (2017)"
"Gurgaon","49.5 (2017)"
"Mewat","37.7 (2017)"
"Faridabad","51.7 (2017)"
"Palwal","43.2 (2017)"
"Yamunanagar","41.8 (2017)"
