"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Chatra","59 (2017)"
"Bokaro","59.8 (2017)"
"Garhwa","61.4 (2017)"
"Kodarma","53.5 (2017)"
"Giridih","54.9 (2017)"
"Deoghar","59.7 (2017)"
"Godda","62.4 (2017)"
"Pakur","57.7 (2017)"
"Dhanbad","62.6 (2017)"
"Lohardaga","50.7 (2017)"
"Palamu","61 (2017)"
"Latehar","55.6 (2017)"
"Hazaribagh","60.1 (2017)"
"Dumka","59.7 (2017)"
"Jamtara","51.3 (2017)"
"Khunti","55.1 (2017)"
"Gumla","53.7 (2017)"
"Sahibganj","50.1 (2017)"
"Purbi Singhbhum","48.7 (2017)"
"Ramgarh","60.1 (2017)"
"Ranchi","57.7 (2017)"
"Simdega","47.9 (2017)"
"Pashchimi Singhbhum","61 (2017)"
"Saraikela-kharsawan","59.9 (2017)"
