"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Chatra","57.9 (2017)"
"Bokaro","59.3 (2017)"
"Garhwa","60.4 (2017)"
"Kodarma","53.4 (2017)"
"Giridih","53.8 (2017)"
"Deoghar","59 (2017)"
"Godda","62.6 (2017)"
"Pakur","58.3 (2017)"
"Dhanbad","62.9 (2017)"
"Lohardaga","51 (2017)"
"Palamu","60.7 (2017)"
"Latehar","54.2 (2017)"
"Hazaribagh","59.7 (2017)"
"Dumka","59.2 (2017)"
"Jamtara","51.1 (2017)"
"Khunti","53.9 (2017)"
"Gumla","53.1 (2017)"
"Sahibganj","48.5 (2017)"
"Purbi Singhbhum","47.8 (2017)"
"Ramgarh","60 (2017)"
"Ranchi","57.6 (2017)"
"Simdega","49.1 (2017)"
"Pashchimi Singhbhum","59.8 (2017)"
"Saraikela-kharsawan","61.8 (2017)"
