"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Belgaum","74.5 (2017)"
"Bagalkot","76.8 (2017)"
"Bangalore","61 (2017)"
"Bangalore Rural","69.9 (2017)"
"Bijapur","71.7 (2017)"
"Bidar","60 (2017)"
"Koppal","69.7 (2017)"
"Gadag","75.2 (2017)"
"Dharwad","68.1 (2017)"
"Haveri","70 (2017)"
"Bellary","70.7 (2017)"
"Chitradurga","70.9 (2017)"
"Davanagere","74.5 (2017)"
"Chikmagalur","59.9 (2017)"
"Mandya","64.4 (2017)"
"Hassan","74.3 (2017)"
"Dakshina Kannada","58.2 (2017)"
"Kodagu","60.5 (2017)"
"Mysore","62.1 (2017)"
"Chamarajanagar","60.9 (2017)"
"Gulbarga","60.6 (2017)"
"Kolar","62.5 (2017)"
"Chikkaballapura","63.9 (2017)"
"Raichur","71.5 (2017)"
"Uttara Kannada","71.1 (2017)"
"Shimoga","57.1 (2017)"
"Udupi","59.6 (2017)"
"Tumkur","66.7 (2017)"
"Yadgir","70.7 (2017)"
"Ramanagara","69.6 (2017)"
