"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Belgaum","73.4 (2017)"
"Bagalkot","73.3 (2017)"
"Bangalore","59.8 (2017)"
"Bangalore Rural","66.8 (2017)"
"Bijapur","72 (2017)"
"Bidar","57.2 (2017)"
"Koppal","67.5 (2017)"
"Gadag","71.7 (2017)"
"Dharwad","71.1 (2017)"
"Haveri","70.2 (2017)"
"Bellary","71.1 (2017)"
"Chitradurga","69.6 (2017)"
"Davanagere","74.2 (2017)"
"Chikmagalur","58.5 (2017)"
"Mandya","59 (2017)"
"Hassan","71.9 (2017)"
"Dakshina Kannada","60 (2017)"
"Kodagu","59 (2017)"
"Mysore","59 (2017)"
"Chamarajanagar","60.8 (2017)"
"Gulbarga","57.8 (2017)"
"Kolar","64 (2017)"
"Chikkaballapura","61.5 (2017)"
"Raichur","72 (2017)"
"Uttara Kannada","71.4 (2017)"
"Shimoga","55.9 (2017)"
"Udupi","57.8 (2017)"
"Tumkur","65.8 (2017)"
"Yadgir","71.6 (2017)"
"Ramanagara","68.5 (2017)"
