"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Bargarh","52.6 (2017)"
"Baleshwar","66.6 (2017)"
"Bhadrak","61.9 (2017)"
"Cuttack","69.2 (2017)"
"Anugul","60.9 (2017)"
"Baudh","49.1 (2017)"
"Balangir","59 (2017)"
"Jharsuguda","49.5 (2017)"
"Debagarh","53.7 (2017)"
"Kendujhar","50.5 (2017)"
"Kendrapara","51.4 (2017)"
"Jagatsinghapur","87.4 (2017)"
"Jajapur","58.9 (2017)"
"Dhenkanal","47.3 (2017)"
"Khordha","56.3 (2017)"
"Ganjam","66.4 (2017)"
"Gajapati","53.3 (2017)"
"Kandhamal","43.9 (2017)"
"Kalahandi","48.9 (2017)"
"Koraput","48.2 (2017)"
"Sambalpur","38.9 (2017)"
"Sundargarh","50.5 (2017)"
"Mayurbhanj","47.6 (2017)"
"Nayagarh","65.4 (2017)"
"Puri","61.1 (2017)"
"Subarnapur","52.6 (2017)"
"Nuapada","52.4 (2017)"
"Rayagada","44.4 (2017)"
"Nabarangapur","63.3 (2017)"
"Malkangiri","52.2 (2017)"
