"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Bargarh","53 (2017)"
"Baleshwar","64.3 (2017)"
"Bhadrak","63 (2017)"
"Cuttack","70.1 (2017)"
"Anugul","62.1 (2017)"
"Baudh","49.5 (2017)"
"Balangir","58.3 (2017)"
"Jharsuguda","50.5 (2017)"
"Debagarh","53 (2017)"
"Kendujhar","50.6 (2017)"
"Kendrapara","53.6 (2017)"
"Jagatsinghapur","86.5 (2017)"
"Jajapur","59.3 (2017)"
"Dhenkanal","49.5 (2017)"
"Khordha","57.1 (2017)"
"Ganjam","69 (2017)"
"Gajapati","50.2 (2017)"
"Kandhamal","45.3 (2017)"
"Kalahandi","48.5 (2017)"
"Koraput","44 (2017)"
"Sambalpur","39.2 (2017)"
"Sundargarh","49.6 (2017)"
"Mayurbhanj","45.6 (2017)"
"Nayagarh","65.9 (2017)"
"Puri","61.6 (2017)"
"Subarnapur","52.4 (2017)"
"Nuapada","54 (2017)"
"Rayagada","42.6 (2017)"
"Nabarangapur","63.6 (2017)"
"Malkangiri","52.2 (2017)"
