"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Faridkot","44.5 (2017)"
"Bathinda","33.8 (2017)"
"Amritsar","44.8 (2017)"
"Barnala","36.6 (2017)"
"Gurdaspur","55.8 (2017)"
"Kapurthala","46.3 (2017)"
"Jalandhar","47.7 (2017)"
"Hoshiarpur","47.5 (2017)"
"Shahid Bhagat Singh Nagar","46.4 (2017)"
"Fatehgarh Sahib","40.9 (2017)"
"Ludhiana","38 (2017)"
"Moga","50.1 (2017)"
"Firozpur","57 (2017)"
"Muktsar","35.8 (2017)"
"Mansa","42.5 (2017)"
"Patiala","36.4 (2017)"
"Tarn Taran","42.8 (2017)"
"Rupnagar","39.6 (2017)"
"Sahibzada Ajit Singh Nagar","41.7 (2017)"
"Sangrur","52.1 (2017)"
