"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Faridkot","44.3 (2017)"
"Bathinda","30.5 (2017)"
"Amritsar","46.5 (2017)"
"Barnala","34.6 (2017)"
"Gurdaspur","51.1 (2017)"
"Kapurthala","45.4 (2017)"
"Jalandhar","45.7 (2017)"
"Hoshiarpur","46.5 (2017)"
"Shahid Bhagat Singh Nagar","47.7 (2017)"
"Fatehgarh Sahib","35.6 (2017)"
"Ludhiana","40.5 (2017)"
"Moga","48.1 (2017)"
"Firozpur","54 (2017)"
"Muktsar","35.1 (2017)"
"Mansa","41.4 (2017)"
"Patiala","35.6 (2017)"
"Tarn Taran","43.9 (2017)"
"Rupnagar","38.2 (2017)"
"Sahibzada Ajit Singh Nagar","40.2 (2017)"
"Sangrur","49.4 (2017)"
