"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Faridkot","44.4 (2017)"
"Bathinda","32.1 (2017)"
"Amritsar","45.6 (2017)"
"Barnala","35.7 (2017)"
"Gurdaspur","53.6 (2017)"
"Kapurthala","45.8 (2017)"
"Jalandhar","46.7 (2017)"
"Hoshiarpur","47 (2017)"
"Shahid Bhagat Singh Nagar","47.1 (2017)"
"Fatehgarh Sahib","38 (2017)"
"Ludhiana","39.2 (2017)"
"Moga","49.2 (2017)"
"Firozpur","55.5 (2017)"
"Muktsar","35.4 (2017)"
"Mansa","41.9 (2017)"
"Patiala","36 (2017)"
"Tarn Taran","43.3 (2017)"
"Rupnagar","38.9 (2017)"
"Sahibzada Ajit Singh Nagar","40.9 (2017)"
"Sangrur","50.8 (2017)"
