"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Ajmer","65.8 (2017)"
"Ganganagar","62.3 (2017)"
"Hanumangarh","60.3 (2017)"
"Bikaner","61.6 (2017)"
"Churu","73.1 (2017)"
"Alwar","62.6 (2017)"
"Bharatpur","71.6 (2017)"
"Dhaulpur","74.4 (2017)"
"Dausa","73 (2017)"
"Jaipur","69.9 (2017)"
"Barmer","71.6 (2017)"
"Bundi","62.6 (2017)"
"Bhilwara","60.7 (2017)"
"Dungarpur","59.6 (2017)"
"Banswara","55.4 (2017)"
"Chittaurgarh","59.2 (2017)"
"Baran","67.5 (2017)"
"Jhunjhunun","76.9 (2017)"
"Karauli","62.8 (2017)"
"Sawai Madhopur","64.8 (2017)"
"Sikar","68.4 (2017)"
"Nagaur","75.7 (2017)"
"Jodhpur","70.8 (2017)"
"Jaisalmer","69.4 (2017)"
"Jalor","64.6 (2017)"
"Sirohi","53.8 (2017)"
"Pali","58.8 (2017)"
"Tonk","66.1 (2017)"
"Rajsamand","64.5 (2017)"
"Kota","64 (2017)"
"Jhalawar","65.1 (2017)"
"Pratapgarh","52.4 (2017)"
"Udaipur","62.2 (2017)"
