"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Ajmer","64.8 (2017)"
"Ganganagar","63 (2017)"
"Hanumangarh","62.2 (2017)"
"Bikaner","62.2 (2017)"
"Churu","73.5 (2017)"
"Alwar","65.1 (2017)"
"Bharatpur","71.4 (2017)"
"Dhaulpur","73.6 (2017)"
"Dausa","72 (2017)"
"Jaipur","70.2 (2017)"
"Barmer","71.3 (2017)"
"Bundi","61.8 (2017)"
"Bhilwara","60.9 (2017)"
"Dungarpur","60.3 (2017)"
"Banswara","53.7 (2017)"
"Chittaurgarh","59.1 (2017)"
"Baran","67 (2017)"
"Jhunjhunun","77.3 (2017)"
"Karauli","61.7 (2017)"
"Sawai Madhopur","63.6 (2017)"
"Sikar","66.6 (2017)"
"Nagaur","76.3 (2017)"
"Jodhpur","70.8 (2017)"
"Jaisalmer","69.3 (2017)"
"Jalor","64 (2017)"
"Sirohi","55.1 (2017)"
"Pali","60.4 (2017)"
"Tonk","65 (2017)"
"Rajsamand","64.6 (2017)"
"Kota","63 (2017)"
"Jhalawar","64.6 (2017)"
"Pratapgarh","53.5 (2017)"
"Udaipur","62.3 (2017)"
