"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Chennai","44.7 (2017)"
"Kancheepuram","53.3 (2017)"
"Erode","53.2 (2017)"
"Dindigul","52.3 (2017)"
"Cuddalore","44.3 (2017)"
"Kanniyakumari","49.3 (2017)"
"Dharmapuri","57.4 (2017)"
"Coimbatore","46.6 (2017)"
"Thiruvallur","51.6 (2017)"
"Salem","48.7 (2017)"
"Namakkal","48 (2017)"
"The Nilgiris","47.9 (2017)"
"Karur","47.5 (2017)"
"Perambalur","60.5 (2017)"
"Nagappattinam","45.6 (2017)"
"Thiruvarur","47 (2017)"
"Thanjavur","46.9 (2017)"
"Pudukkottai","49.6 (2017)"
"Sivaganga","52.6 (2017)"
"Madurai","44 (2017)"
"Theni","43.8 (2017)"
"Ramanathapuram","54.9 (2017)"
"Vellore","51.6 (2017)"
"Tiruvannamalai","47.9 (2017)"
"Viluppuram","55.4 (2017)"
"Tiruchirappalli","38.8 (2017)"
"Virudunagar","43.5 (2017)"
"Thoothukkudi","46.9 (2017)"
"Tirunelveli","49.3 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
