"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Aligarh","59.3 (2017)"
"Agra","54.6 (2017)"
"Allahabad","48.2 (2017)"
"Ambedkar Nagar","68.6 (2017)"
"Bijnor","53.5 (2017)"
"Amroha","56.7 (2017)"
"Baghpat","58.7 (2017)"
"Budaun","41.9 (2017)"
"Bareilly","54.2 (2017)"
"Auraiya","54.4 (2017)"
"Banda","44.6 (2017)"
"Bara banki","63 (2017)"
"Bahraich","56.5 (2017)"
"Balrampur","47 (2017)"
"Basti","31.3 (2017)"
"Azamgarh","60.6 (2017)"
"Ballia","44.9 (2017)"
"Ghaziabad","51.7 (2017)"
"Gautam Buddha Nagar","56.7 (2017)"
"Bulandshahr","49.8 (2017)"
"Firozabad","49.3 (2017)"
"Farrukhabad","46.3 (2017)"
"Etawah","56.3 (2017)"
"Chitrakoot","54.2 (2017)"
"Fatehpur","24.4 (2017)"
"Faizabad","38.2 (2017)"
"Deoria","51 (2017)"
"Ghazipur","52.1 (2017)"
"Chandauli","53.5 (2017)"
"Etah","29.1 (2017)"
"Hathras","49.3 (2017)"
"Hardoi","42 (2017)"
"Kannauj","34.7 (2017)"
"Kanpur Dehat","48.6 (2017)"
"Kanpur Nagar","48.1 (2017)"
"Jalaun","56.6 (2017)"
"Jhansi","54.3 (2017)"
"Hamirpur","47.2 (2017)"
"Gonda","55 (2017)"
"Gorakhpur","48.6 (2017)"
"Jaunpur","59.4 (2017)"
"Kasganj","47.5 (2017)"
"Muzaffarnagar","56 (2017)"
"Moradabad","52.4 (2017)"
"Meerut","60.4 (2017)"
"Mathura","51.3 (2017)"
"Mainpuri","43.2 (2017)"
"Kheri","24.1 (2017)"
"Lucknow","40.6 (2017)"
"Lalitpur","46.3 (2017)"
"Mahoba","54.6 (2017)"
"Kaushambi","23.6 (2017)"
"Mahrajganj","55.7 (2017)"
"Kushinagar","50.7 (2017)"
"Mau","29.2 (2017)"
"Mirzapur","51.6 (2017)"
"Saharanpur","52.4 (2017)"
"Rampur","46.4 (2017)"
"Pilibhit","42.8 (2017)"
"Shahjahanpur","50.8 (2017)"
"Sitapur","48.1 (2017)"
"Rae Bareli","53.3 (2017)"
"Pratapgarh","46.8 (2017)"
"Sultanpur","41.5 (2017)"
"Shrawasti","34.8 (2017)"
"Siddharth Nagar","41.1 (2017)"
"Sant Kabir Nagar","50.2 (2017)"
"Sant Ravidas Nagar (Bhadohi)","56.7 (2017)"
"Sonbhadra","44 (2017)"
"Unnao","42.6 (2017)"
"Varanasi","45.7 (2017)"
