"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Aligarh","56.7 (2017)"
"Agra","52.9 (2017)"
"Allahabad","47.8 (2017)"
"Ambedkar Nagar","68.7 (2017)"
"Bijnor","55.2 (2017)"
"Amroha","57.3 (2017)"
"Baghpat","58.2 (2017)"
"Budaun","41.4 (2017)"
"Bareilly","55 (2017)"
"Auraiya","54 (2017)"
"Banda","45.6 (2017)"
"Bara banki","61.9 (2017)"
"Bahraich","55.7 (2017)"
"Balrampur","45.6 (2017)"
"Basti","31.3 (2017)"
"Azamgarh","60.5 (2017)"
"Ballia","44.3 (2017)"
"Ghaziabad","53.2 (2017)"
"Gautam Buddha Nagar","56.6 (2017)"
"Bulandshahr","48.1 (2017)"
"Firozabad","48.9 (2017)"
"Farrukhabad","46.6 (2017)"
"Etawah","55.8 (2017)"
"Chitrakoot","54.6 (2017)"
"Fatehpur","24.5 (2017)"
"Faizabad","38.5 (2017)"
"Deoria","50.6 (2017)"
"Ghazipur","51.9 (2017)"
"Chandauli","52.5 (2017)"
"Etah","36.9 (2017)"
"Hathras","48.4 (2017)"
"Hardoi","43.6 (2017)"
"Kannauj","40.2 (2017)"
"Kanpur Dehat","48.4 (2017)"
"Kanpur Nagar","48.9 (2017)"
"Jalaun","56.3 (2017)"
"Jhansi","53.7 (2017)"
"Hamirpur","46 (2017)"
"Gonda","53.8 (2017)"
"Gorakhpur","47.3 (2017)"
"Jaunpur","59.8 (2017)"
"Kasganj","47 (2017)"
"Muzaffarnagar","56 (2017)"
"Moradabad","52.5 (2017)"
"Meerut","61.3 (2017)"
"Mathura","51.3 (2017)"
"Mainpuri","42.7 (2017)"
"Kheri","24.4 (2017)"
"Lucknow","38.7 (2017)"
"Lalitpur","46.6 (2017)"
"Mahoba","54.5 (2017)"
"Kaushambi","24.4 (2017)"
"Mahrajganj","54 (2017)"
"Kushinagar","49.2 (2017)"
"Mau","29.2 (2017)"
"Mirzapur","51 (2017)"
"Saharanpur","53 (2017)"
"Rampur","46.2 (2017)"
"Pilibhit","41.4 (2017)"
"Shahjahanpur","49.9 (2017)"
"Sitapur","47.9 (2017)"
"Rae Bareli","53.8 (2017)"
"Pratapgarh","47.7 (2017)"
"Sultanpur","42.7 (2017)"
"Shrawasti","33.2 (2017)"
"Siddharth Nagar","41.4 (2017)"
"Sant Kabir Nagar","51.7 (2017)"
"Sant Ravidas Nagar (Bhadohi)","57 (2017)"
"Sonbhadra","43.5 (2017)"
"Unnao","45.9 (2017)"
"Varanasi","46.1 (2017)"
