"","Average Performance of Students in Mathematics in Class 5, Percent (Female)"
"Bankura","51.1 (2017)"
"Jalpaiguri","29.4 (2017)"
"Koch Bihar","53.4 (2017)"
"Dakshin Dinajpur","40.4 (2017)"
"Birbhum","41.2 (2017)"
"Hugli","53.1 (2017)"
"Haora","50.2 (2017)"
"Maldah","52.7 (2017)"
"Murshidabad","49.6 (2017)"
"Nadia","46.7 (2017)"
"North Twenty Four Parganas","49.4 (2017)"
"Kolkata","56.4 (2017)"
"Paschim Medinipur","48.7 (2017)"
"Purba Medinipur","53 (2017)"
"Uttar Dinajpur","41.7 (2017)"
"Puruliya","43.8 (2017)"
"South Twenty Four Parganas","52.9 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
