"","Average Performance of Students in Mathematics in Class 5, Percent (Male)"
"Bankura","55.9 (2017)"
"Jalpaiguri","30.2 (2017)"
"Koch Bihar","55.1 (2017)"
"Dakshin Dinajpur","43.4 (2017)"
"Birbhum","43.8 (2017)"
"Hugli","52.3 (2017)"
"Haora","49.6 (2017)"
"Maldah","48.6 (2017)"
"Murshidabad","51.3 (2017)"
"Nadia","45.4 (2017)"
"North Twenty Four Parganas","50.3 (2017)"
"Kolkata","59.8 (2017)"
"Paschim Medinipur","53.9 (2017)"
"Purba Medinipur","54.8 (2017)"
"Uttar Dinajpur","46.2 (2017)"
"Puruliya","47.2 (2017)"
"South Twenty Four Parganas","54.4 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
