"","Average Performance of Students in Mathematics in Class 5, Percent (Total)"
"Bankura","53.8 (2017)"
"Jalpaiguri","29.8 (2017)"
"Koch Bihar","54.2 (2017)"
"Dakshin Dinajpur","41.8 (2017)"
"Birbhum","42.4 (2017)"
"Hugli","52.6 (2017)"
"Haora","49.9 (2017)"
"Maldah","50.8 (2017)"
"Murshidabad","50.4 (2017)"
"Nadia","46.1 (2017)"
"North Twenty Four Parganas","49.9 (2017)"
"Kolkata","58 (2017)"
"Paschim Medinipur","51.2 (2017)"
"Purba Medinipur","54 (2017)"
"Uttar Dinajpur","43.5 (2017)"
"Puruliya","45.6 (2017)"
"South Twenty Four Parganas","53.7 (2017)"
"Darjiling",""
"Barddhaman",""
"West Bengal - New Moore Island",""
