"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Tawang","50.6 (2017)"
"West Kameng","36.3 (2017)"
"East Kameng","48.1 (2017)"
"Papum Pare","50 (2017)"
"Upper Subansiri","45.6 (2017)"
"West Siang","52.5 (2017)"
"East Siang","38.6 (2017)"
"Upper Siang","43.4 (2017)"
"Changlang","36.6 (2017)"
"Tirap","50 (2017)"
"Lower Subansiri","52.2 (2017)"
"Kurung Kumey","49.4 (2017)"
"Dibang Valley","40.9 (2017)"
"Lower Dibang Valley","37.1 (2017)"
"Lohit","42.6 (2017)"
"Anjaw","38.2 (2017)"
