"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Tawang","52.8 (2017)"
"West Kameng","37.6 (2017)"
"East Kameng","47.6 (2017)"
"Papum Pare","50.7 (2017)"
"Upper Subansiri","44.9 (2017)"
"West Siang","49.3 (2017)"
"East Siang","40.6 (2017)"
"Upper Siang","46.8 (2017)"
"Changlang","37.3 (2017)"
"Tirap","49.2 (2017)"
"Lower Subansiri","52.3 (2017)"
"Kurung Kumey","49.1 (2017)"
"Dibang Valley","42.3 (2017)"
"Lower Dibang Valley","38.8 (2017)"
"Lohit","40.5 (2017)"
"Anjaw","41.8 (2017)"
