"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Barpeta","53.4 (2017)"
"Cachar","57.6 (2017)"
"Bongaigaon","57.3 (2017)"
"Baksa","52.1 (2017)"
"Kokrajhar","58.8 (2017)"
"Dhubri","54.3 (2017)"
"Goalpara","45.7 (2017)"
"Morigaon","56.3 (2017)"
"Nagaon","56.2 (2017)"
"Sonitpur","44.5 (2017)"
"Lakhimpur","56.9 (2017)"
"Dhemaji","48.3 (2017)"
"Tinsukia","54.2 (2017)"
"Dibrugarh","54.9 (2017)"
"Sivasagar","52.9 (2017)"
"Jorhat","56 (2017)"
"Golaghat","50.6 (2017)"
"Karbi Anglong","50 (2017)"
"Dima Hasao","61 (2017)"
"Karimganj","59 (2017)"
"Hailakandi","58.9 (2017)"
"Chirang","50.7 (2017)"
"Kamrup","58.8 (2017)"
"Kamrup Metropolitan","57.6 (2017)"
"Nalbari","57.8 (2017)"
"Darrang","49.9 (2017)"
"Udalguri","51.5 (2017)"
