"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Barpeta","55.1 (2017)"
"Cachar","59.6 (2017)"
"Bongaigaon","58.2 (2017)"
"Baksa","55 (2017)"
"Kokrajhar","56.1 (2017)"
"Dhubri","54.5 (2017)"
"Goalpara","44.7 (2017)"
"Morigaon","57.1 (2017)"
"Nagaon","57.4 (2017)"
"Sonitpur","44.2 (2017)"
"Lakhimpur","58.1 (2017)"
"Dhemaji","47.9 (2017)"
"Tinsukia","50 (2017)"
"Dibrugarh","56.2 (2017)"
"Sivasagar","54 (2017)"
"Jorhat","54.3 (2017)"
"Golaghat","50.3 (2017)"
"Karbi Anglong","46.9 (2017)"
"Dima Hasao","59.7 (2017)"
"Karimganj","55 (2017)"
"Hailakandi","59.5 (2017)"
"Chirang","50.1 (2017)"
"Kamrup","57.3 (2017)"
"Kamrup Metropolitan","57.5 (2017)"
"Nalbari","60.7 (2017)"
"Darrang","51.6 (2017)"
"Udalguri","51.3 (2017)"
