"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Barpeta","54.2 (2017)"
"Cachar","58.6 (2017)"
"Bongaigaon","57.7 (2017)"
"Baksa","53.5 (2017)"
"Kokrajhar","57.6 (2017)"
"Dhubri","54.4 (2017)"
"Goalpara","45.3 (2017)"
"Morigaon","56.6 (2017)"
"Nagaon","56.7 (2017)"
"Sonitpur","44.4 (2017)"
"Lakhimpur","57.4 (2017)"
"Dhemaji","48.1 (2017)"
"Tinsukia","52.3 (2017)"
"Dibrugarh","55.5 (2017)"
"Sivasagar","53.4 (2017)"
"Jorhat","55.1 (2017)"
"Golaghat","50.5 (2017)"
"Karbi Anglong","48.5 (2017)"
"Dima Hasao","60.4 (2017)"
"Karimganj","57.2 (2017)"
"Hailakandi","59.2 (2017)"
"Chirang","50.4 (2017)"
"Kamrup","58.1 (2017)"
"Kamrup Metropolitan","57.6 (2017)"
"Nalbari","59.2 (2017)"
"Darrang","50.5 (2017)"
"Udalguri","51.4 (2017)"
