"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Araria","61.1 (2017)"
"Banka","57.5 (2017)"
"Aurangabad","57.1 (2017)"
"Arwal","55.9 (2017)"
"Katihar","57.4 (2017)"
"Darbhanga","54 (2017)"
"Gopalganj","59.8 (2017)"
"Begusarai","63.7 (2017)"
"Khagaria","59.3 (2017)"
"Bhagalpur","54.9 (2017)"
"Bhojpur","55.1 (2017)"
"Buxar","56.2 (2017)"
"Kaimur","57.4 (2017)"
"Gaya","59.8 (2017)"
"Jamui","61 (2017)"
"Jehanabad","57.6 (2017)"
"Pashchim Champaran","58.1 (2017)"
"Purba Champaran","57.6 (2017)"
"Madhubani","57.1 (2017)"
"Kishanganj","56 (2017)"
"Madhepura","59.9 (2017)"
"Muzaffarpur","58.5 (2017)"
"Munger","58 (2017)"
"Lakhisarai","66.4 (2017)"
"Nalanda","58.9 (2017)"
"Patna","64.2 (2017)"
"Nawada","59.2 (2017)"
"Sheohar","61.5 (2017)"
"Sitamarhi","59.5 (2017)"
"Supaul","64.2 (2017)"
"Purnia","55.9 (2017)"
"Saharsa","60 (2017)"
"Siwan","53.8 (2017)"
"Saran","60.3 (2017)"
"Vaishali","56.3 (2017)"
"Samastipur","56.8 (2017)"
"Sheikhpura","56.6 (2017)"
"Rohtas","62.8 (2017)"
