"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Araria","59.9 (2017)"
"Banka","56.9 (2017)"
"Aurangabad","56.8 (2017)"
"Arwal","58.2 (2017)"
"Katihar","56.9 (2017)"
"Darbhanga","52.5 (2017)"
"Gopalganj","62 (2017)"
"Begusarai","63.5 (2017)"
"Khagaria","57.5 (2017)"
"Bhagalpur","53.8 (2017)"
"Bhojpur","54.4 (2017)"
"Buxar","54.7 (2017)"
"Kaimur","58.5 (2017)"
"Gaya","59.4 (2017)"
"Jamui","59.7 (2017)"
"Jehanabad","56.8 (2017)"
"Pashchim Champaran","57.1 (2017)"
"Purba Champaran","55.7 (2017)"
"Madhubani","56.9 (2017)"
"Kishanganj","53.7 (2017)"
"Madhepura","57.2 (2017)"
"Muzaffarpur","57.6 (2017)"
"Munger","57.9 (2017)"
"Lakhisarai","64.3 (2017)"
"Nalanda","58.7 (2017)"
"Patna","62.8 (2017)"
"Nawada","58.2 (2017)"
"Sheohar","60.5 (2017)"
"Sitamarhi","58.5 (2017)"
"Supaul","60.9 (2017)"
"Purnia","52.5 (2017)"
"Saharsa","58.7 (2017)"
"Siwan","52.6 (2017)"
"Saran","59 (2017)"
"Vaishali","54.2 (2017)"
"Samastipur","55.7 (2017)"
"Sheikhpura","56 (2017)"
"Rohtas","58.4 (2017)"
