"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Koriya","49.9 (2017)"
"Jashpur","58.1 (2017)"
"Raigarh","59.8 (2017)"
"Korba","55.2 (2017)"
"Janjgir-Champa","53.1 (2017)"
"Bilaspur","53.5 (2017)"
"Kabeerdham","56.6 (2017)"
"Durg","58.4 (2017)"
"Raipur","53.7 (2017)"
"Mahasamund","53.7 (2017)"
"Dhamtari","53 (2017)"
"Bastar","54.7 (2017)"
"Narayanpur","50.4 (2017)"
"Dantewada","48.4 (2017)"
"Bijapur","46.8 (2017)"
"Surguja","69.7 (2017)"
"Rajnandgaon","55.6 (2017)"
"Uttar Bastar Kanker","49.8 (2017)"
