"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Koriya","50.8 (2017)"
"Jashpur","55.3 (2017)"
"Raigarh","57.6 (2017)"
"Korba","54.6 (2017)"
"Janjgir-Champa","51.8 (2017)"
"Bilaspur","49.6 (2017)"
"Kabeerdham","56.9 (2017)"
"Durg","56.7 (2017)"
"Raipur","52.5 (2017)"
"Mahasamund","52.5 (2017)"
"Dhamtari","51.8 (2017)"
"Bastar","53.8 (2017)"
"Narayanpur","51.2 (2017)"
"Dantewada","47.9 (2017)"
"Bijapur","47.6 (2017)"
"Surguja","70.8 (2017)"
"Rajnandgaon","55 (2017)"
"Uttar Bastar Kanker","49.6 (2017)"
