"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Chatra","63.9 (2017)"
"Bokaro","62.1 (2017)"
"Garhwa","55.6 (2017)"
"Kodarma","59.8 (2017)"
"Giridih","56.9 (2017)"
"Deoghar","66 (2017)"
"Godda","62.4 (2017)"
"Pakur","67.7 (2017)"
"Dhanbad","68.3 (2017)"
"Lohardaga","53.1 (2017)"
"Palamu","60.4 (2017)"
"Latehar","60.8 (2017)"
"Hazaribagh","64.9 (2017)"
"Dumka","60.7 (2017)"
"Jamtara","59.3 (2017)"
"Khunti","60.7 (2017)"
"Gumla","59.5 (2017)"
"Sahibganj","55.2 (2017)"
"Purbi Singhbhum","55.9 (2017)"
"Ramgarh","63.3 (2017)"
"Ranchi","63.6 (2017)"
"Simdega","56.5 (2017)"
"Pashchimi Singhbhum","65.7 (2017)"
"Saraikela-kharsawan","64.4 (2017)"
