"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Chatra","63.5 (2017)"
"Bokaro","61.7 (2017)"
"Garhwa","54.6 (2017)"
"Kodarma","60.6 (2017)"
"Giridih","58.2 (2017)"
"Deoghar","65.9 (2017)"
"Godda","62.3 (2017)"
"Pakur","66.3 (2017)"
"Dhanbad","67.2 (2017)"
"Lohardaga","53.8 (2017)"
"Palamu","59.9 (2017)"
"Latehar","59.5 (2017)"
"Hazaribagh","65.9 (2017)"
"Dumka","59.5 (2017)"
"Jamtara","58.6 (2017)"
"Khunti","59.5 (2017)"
"Gumla","58.3 (2017)"
"Sahibganj","55 (2017)"
"Purbi Singhbhum","55.4 (2017)"
"Ramgarh","62.9 (2017)"
"Ranchi","63 (2017)"
"Simdega","54.7 (2017)"
"Pashchimi Singhbhum","65.5 (2017)"
"Saraikela-kharsawan","63.8 (2017)"
