"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Badgam","20 (2017)"
"Baramula","44.1 (2017)"
"Bandipore","40.2 (2017)"
"Anantnag","36.9 (2017)"
"Doda","43.2 (2017)"
"Kupwara","54 (2017)"
"Leh(Ladakh)","47.6 (2017)"
"Kargil","27 (2017)"
"Punch","47.8 (2017)"
"Rajouri","44.7 (2017)"
"Kathua","41.1 (2017)"
"Srinagar","44.2 (2017)"
"Ganderbal","47 (2017)"
"Pulwama","15.9 (2017)"
"Shupiyan","11.5 (2017)"
"Kulgam","17.9 (2017)"
"Ramban","48.1 (2017)"
"Kishtwar","51.6 (2017)"
"Udhampur","43.8 (2017)"
"Reasi","34.8 (2017)"
"Jammu","43.1 (2017)"
"Samba","50.4 (2017)"
"Jammu & Kashmir - NA",""
