"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Badgam","48.6 (2017)"
"Baramula","45.4 (2017)"
"Bandipore","41.7 (2017)"
"Anantnag","35 (2017)"
"Doda","43.6 (2017)"
"Kupwara","53.2 (2017)"
"Leh(Ladakh)","46.4 (2017)"
"Kargil","27.2 (2017)"
"Punch","47.7 (2017)"
"Rajouri","44.1 (2017)"
"Kathua","40.3 (2017)"
"Srinagar","45.6 (2017)"
"Ganderbal","50.1 (2017)"
"Pulwama","18.9 (2017)"
"Shupiyan","13.8 (2017)"
"Kulgam","18.3 (2017)"
"Ramban","47.5 (2017)"
"Kishtwar","53.3 (2017)"
"Udhampur","43.6 (2017)"
"Reasi","34.5 (2017)"
"Jammu","40.6 (2017)"
"Samba","48.9 (2017)"
"Jammu & Kashmir - NA",""
