"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Belgaum","71.3 (2017)"
"Bagalkot","76.1 (2017)"
"Bangalore","58.5 (2017)"
"Bangalore Rural","66.5 (2017)"
"Bijapur","68.1 (2017)"
"Bidar","66.3 (2017)"
"Koppal","64.3 (2017)"
"Gadag","61.7 (2017)"
"Dharwad","65.5 (2017)"
"Haveri","63.5 (2017)"
"Bellary","64.7 (2017)"
"Chitradurga","65.4 (2017)"
"Davanagere","64 (2017)"
"Chikmagalur","54.8 (2017)"
"Mandya","54.8 (2017)"
"Hassan","65 (2017)"
"Dakshina Kannada","64.5 (2017)"
"Kodagu","60.2 (2017)"
"Mysore","58.3 (2017)"
"Chamarajanagar","59.7 (2017)"
"Gulbarga","57.6 (2017)"
"Kolar","55.3 (2017)"
"Chikkaballapura","54.3 (2017)"
"Raichur","67.1 (2017)"
"Uttara Kannada","69.5 (2017)"
"Shimoga","58.5 (2017)"
"Udupi","62.7 (2017)"
"Tumkur","62.9 (2017)"
"Yadgir","70.4 (2017)"
"Ramanagara","66.1 (2017)"
