"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Dhule","60.7 (2017)"
"Buldana","62.2 (2017)"
"Akola","57.7 (2017)"
"Amravati","55.5 (2017)"
"Bhandara","55 (2017)"
"Gondiya","58.5 (2017)"
"Garhchiroli","62.7 (2017)"
"Chandrapur","54.6 (2017)"
"Aurangabad","60.7 (2017)"
"Ahmadnagar","65 (2017)"
"Bid","69.1 (2017)"
"Nandurbar","61.5 (2017)"
"Jalgaon","55.7 (2017)"
"Nagpur","54.2 (2017)"
"Nanded","58 (2017)"
"Hingoli","61.4 (2017)"
"Parbhani","64.8 (2017)"
"Jalna","51.9 (2017)"
"Nashik","59.2 (2017)"
"Mumbai Suburban","51.8 (2017)"
"Mumbai City","64 (2017)"
"Raigarh","59.2 (2017)"
"Pune","66.2 (2017)"
"Latur","64.3 (2017)"
"Osmanabad","66.9 (2017)"
"Kolhapur","66.4 (2017)"
"Solapur","60.7 (2017)"
"Satara","70.3 (2017)"
"Ratnagiri","69.4 (2017)"
"Sindhudurg","75 (2017)"
"Sangli","62.9 (2017)"
"Washim","59.3 (2017)"
"Wardha","58.3 (2017)"
"Yavatmal","53.8 (2017)"
"Thane","61.3 (2017)"
