"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Bhind","55.4 (2017)"
"Datia","52.3 (2017)"
"Chhatarpur","58.8 (2017)"
"Damoh","57.9 (2017)"
"Dewas","62.8 (2017)"
"Dhar","51.2 (2017)"
"Barwani","49.8 (2017)"
"Bhopal","58.2 (2017)"
"Betul","51.5 (2017)"
"Dindori","47.9 (2017)"
"Chhindwara","51.5 (2017)"
"Balaghat","58 (2017)"
"Ashoknagar","57.2 (2017)"
"Anuppur","52.1 (2017)"
"Alirajpur","45.6 (2017)"
"Burhanpur","63.3 (2017)"
"Morena","52.7 (2017)"
"Gwalior","53.9 (2017)"
"Panna","46.5 (2017)"
"Sagar","60.1 (2017)"
"Satna","48.2 (2017)"
"Rewa","52.9 (2017)"
"Neemuch","58.6 (2017)"
"Mandsaur","53 (2017)"
"Ratlam","54.7 (2017)"
"Shajapur","56.9 (2017)"
"Indore","57.1 (2017)"
"Rajgarh","57.2 (2017)"
"Sehore","60.2 (2017)"
"Raisen","54.4 (2017)"
"Harda","52.9 (2017)"
"Hoshangabad","59.6 (2017)"
"Katni","48.7 (2017)"
"Jabalpur","55.7 (2017)"
"Narsimhapur","72.1 (2017)"
"Mandla","52.3 (2017)"
"Seoni","54.7 (2017)"
"Guna","59.4 (2017)"
"Shahdol","55.7 (2017)"
"Jhabua","45.5 (2017)"
"East Nimar","56 (2017)"
"Sheopur","51.6 (2017)"
"Shivpuri","57 (2017)"
"Tikamgarh","61.3 (2017)"
"Umaria","51.3 (2017)"
"Ujjain","52.5 (2017)"
"West Nimar","54.1 (2017)"
"Vidisha","47.6 (2017)"
"Sidhi","51.8 (2017)"
"Singrauli","44.1 (2017)"
