"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Bhind","53.3 (2017)"
"Datia","55 (2017)"
"Chhatarpur","57.9 (2017)"
"Damoh","55.6 (2017)"
"Dewas","59.2 (2017)"
"Dhar","44 (2017)"
"Barwani","53.2 (2017)"
"Bhopal","57.4 (2017)"
"Betul","52.7 (2017)"
"Dindori","48 (2017)"
"Chhindwara","51.1 (2017)"
"Balaghat","57.5 (2017)"
"Ashoknagar","56.6 (2017)"
"Anuppur","50.8 (2017)"
"Alirajpur","43.7 (2017)"
"Burhanpur","57.9 (2017)"
"Morena","54.8 (2017)"
"Gwalior","54.1 (2017)"
"Panna","41.3 (2017)"
"Sagar","63.4 (2017)"
"Satna","49.7 (2017)"
"Rewa","49.4 (2017)"
"Neemuch","56.1 (2017)"
"Mandsaur","51.2 (2017)"
"Ratlam","54.5 (2017)"
"Shajapur","61.9 (2017)"
"Indore","58.7 (2017)"
"Rajgarh","57.3 (2017)"
"Sehore","61.7 (2017)"
"Raisen","50.9 (2017)"
"Harda","48.6 (2017)"
"Hoshangabad","59.9 (2017)"
"Katni","47.9 (2017)"
"Jabalpur","58.5 (2017)"
"Narsimhapur","68.4 (2017)"
"Mandla","52.3 (2017)"
"Seoni","49.8 (2017)"
"Guna","54.1 (2017)"
"Shahdol","56.2 (2017)"
"Jhabua","43.3 (2017)"
"East Nimar","53.8 (2017)"
"Sheopur","52.2 (2017)"
"Shivpuri","59.3 (2017)"
"Tikamgarh","61.6 (2017)"
"Umaria","48.9 (2017)"
"Ujjain","49.6 (2017)"
"West Nimar","52.9 (2017)"
"Vidisha","44.7 (2017)"
"Sidhi","49 (2017)"
"Singrauli","47.2 (2017)"
