"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Bargarh","50.6 (2017)"
"Baleshwar","56.6 (2017)"
"Bhadrak","57.7 (2017)"
"Cuttack","62.4 (2017)"
"Anugul","53.7 (2017)"
"Baudh","54.5 (2017)"
"Balangir","55.3 (2017)"
"Jharsuguda","53.3 (2017)"
"Debagarh","51.2 (2017)"
"Kendujhar","47.9 (2017)"
"Kendrapara","50.9 (2017)"
"Jagatsinghapur","67.5 (2017)"
"Jajapur","58.4 (2017)"
"Dhenkanal","53.1 (2017)"
"Khordha","56.9 (2017)"
"Ganjam","56.6 (2017)"
"Gajapati","41.4 (2017)"
"Kandhamal","42.4 (2017)"
"Kalahandi","45.8 (2017)"
"Koraput","40.3 (2017)"
"Sambalpur","46.9 (2017)"
"Sundargarh","49.5 (2017)"
"Mayurbhanj","46.2 (2017)"
"Nayagarh","57.6 (2017)"
"Puri","58.4 (2017)"
"Subarnapur","50.8 (2017)"
"Nuapada","49.7 (2017)"
"Rayagada","40.2 (2017)"
"Nabarangapur","56 (2017)"
"Malkangiri","54.8 (2017)"
