"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Bargarh","49.5 (2017)"
"Baleshwar","54.6 (2017)"
"Bhadrak","59.3 (2017)"
"Cuttack","61.6 (2017)"
"Anugul","50.3 (2017)"
"Baudh","51 (2017)"
"Balangir","55.3 (2017)"
"Jharsuguda","48.1 (2017)"
"Debagarh","52.7 (2017)"
"Kendujhar","42.8 (2017)"
"Kendrapara","47.4 (2017)"
"Jagatsinghapur","63.8 (2017)"
"Jajapur","61.8 (2017)"
"Dhenkanal","52.5 (2017)"
"Khordha","54.9 (2017)"
"Ganjam","55.7 (2017)"
"Gajapati","39.8 (2017)"
"Kandhamal","39.7 (2017)"
"Kalahandi","42.7 (2017)"
"Koraput","43 (2017)"
"Sambalpur","44.6 (2017)"
"Sundargarh","48.4 (2017)"
"Mayurbhanj","41.4 (2017)"
"Nayagarh","56.5 (2017)"
"Puri","55.4 (2017)"
"Subarnapur","47.5 (2017)"
"Nuapada","51.2 (2017)"
"Rayagada","33.9 (2017)"
"Nabarangapur","56 (2017)"
"Malkangiri","51 (2017)"
