"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Bargarh","50.1 (2017)"
"Baleshwar","55.6 (2017)"
"Bhadrak","58.5 (2017)"
"Cuttack","62 (2017)"
"Anugul","52 (2017)"
"Baudh","53 (2017)"
"Balangir","55.3 (2017)"
"Jharsuguda","51 (2017)"
"Debagarh","52 (2017)"
"Kendujhar","45.4 (2017)"
"Kendrapara","49.3 (2017)"
"Jagatsinghapur","65.8 (2017)"
"Jajapur","60.1 (2017)"
"Dhenkanal","52.8 (2017)"
"Khordha","56 (2017)"
"Ganjam","56.1 (2017)"
"Gajapati","40.6 (2017)"
"Kandhamal","41.1 (2017)"
"Kalahandi","44.3 (2017)"
"Koraput","41.7 (2017)"
"Sambalpur","45.9 (2017)"
"Sundargarh","49 (2017)"
"Mayurbhanj","44 (2017)"
"Nayagarh","57.1 (2017)"
"Puri","56.9 (2017)"
"Subarnapur","49.1 (2017)"
"Nuapada","50.4 (2017)"
"Rayagada","37.4 (2017)"
"Nabarangapur","56 (2017)"
"Malkangiri","52.7 (2017)"
