"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Ajmer","73.4 (2017)"
"Ganganagar","61.9 (2017)"
"Hanumangarh","65.1 (2017)"
"Bikaner","61.9 (2017)"
"Churu","73.5 (2017)"
"Alwar","67.5 (2017)"
"Bharatpur","73.7 (2017)"
"Dhaulpur","76.4 (2017)"
"Dausa","74.4 (2017)"
"Jaipur","70.5 (2017)"
"Barmer","70.4 (2017)"
"Bundi","68.6 (2017)"
"Bhilwara","57.9 (2017)"
"Dungarpur","64 (2017)"
"Banswara","57.4 (2017)"
"Chittaurgarh","63.1 (2017)"
"Baran","63.9 (2017)"
"Jhunjhunun","74.4 (2017)"
"Karauli","64.7 (2017)"
"Sawai Madhopur","69.3 (2017)"
"Sikar","69.9 (2017)"
"Nagaur","75.9 (2017)"
"Jodhpur","68.9 (2017)"
"Jaisalmer","70.5 (2017)"
"Jalor","65.8 (2017)"
"Sirohi","60.1 (2017)"
"Pali","57 (2017)"
"Tonk","68 (2017)"
"Rajsamand","64.5 (2017)"
"Kota","69.4 (2017)"
"Jhalawar","67.9 (2017)"
"Pratapgarh","57.1 (2017)"
"Udaipur","63.7 (2017)"
