"","Average Performance of Students in Language in Class 8, Percent (Female)"
"Chennai","53.3 (2017)"
"Kancheepuram","56.1 (2017)"
"Erode","62.7 (2017)"
"Dindigul","61.6 (2017)"
"Cuddalore","60.2 (2017)"
"Kanniyakumari","62.4 (2017)"
"Dharmapuri","57.9 (2017)"
"Coimbatore","64 (2017)"
"Thiruvallur","58.6 (2017)"
"Salem","57.7 (2017)"
"Namakkal","61 (2017)"
"The Nilgiris","59.8 (2017)"
"Karur","58.3 (2017)"
"Perambalur","62.1 (2017)"
"Nagappattinam","57.8 (2017)"
"Thiruvarur","55.1 (2017)"
"Thanjavur","62.1 (2017)"
"Pudukkottai","60.9 (2017)"
"Sivaganga","61.7 (2017)"
"Madurai","59 (2017)"
"Theni","55.8 (2017)"
"Ramanathapuram","63.3 (2017)"
"Vellore","51.7 (2017)"
"Tiruvannamalai","54.2 (2017)"
"Viluppuram","57.5 (2017)"
"Tiruchirappalli","60 (2017)"
"Virudunagar","60.1 (2017)"
"Thoothukkudi","63.7 (2017)"
"Tirunelveli","62.7 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
