"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Chennai","48.7 (2017)"
"Kancheepuram","51 (2017)"
"Erode","58.2 (2017)"
"Dindigul","55.8 (2017)"
"Cuddalore","52.3 (2017)"
"Kanniyakumari","59.9 (2017)"
"Dharmapuri","55.9 (2017)"
"Coimbatore","61.6 (2017)"
"Thiruvallur","50.4 (2017)"
"Salem","53 (2017)"
"Namakkal","56 (2017)"
"The Nilgiris","55.2 (2017)"
"Karur","51.6 (2017)"
"Perambalur","58.6 (2017)"
"Nagappattinam","53.4 (2017)"
"Thiruvarur","53.9 (2017)"
"Thanjavur","54.6 (2017)"
"Pudukkottai","57 (2017)"
"Sivaganga","60.8 (2017)"
"Madurai","52.4 (2017)"
"Theni","54.5 (2017)"
"Ramanathapuram","60.3 (2017)"
"Vellore","46.5 (2017)"
"Tiruvannamalai","52.2 (2017)"
"Viluppuram","51.4 (2017)"
"Tiruchirappalli","52.1 (2017)"
"Virudunagar","55.6 (2017)"
"Thoothukkudi","58.6 (2017)"
"Tirunelveli","57.2 (2017)"
"Ariyalur",""
"Krishnagiri",""
"Tiruppur",""
