"","Average Performance of Students in Language in Class 8, Percent (Male)"
"Aligarh","58.7 (2017)"
"Agra","56.1 (2017)"
"Allahabad","56.9 (2017)"
"Ambedkar Nagar","68.4 (2017)"
"Bijnor","58.7 (2017)"
"Amroha","58.8 (2017)"
"Baghpat","52.5 (2017)"
"Budaun","47.9 (2017)"
"Bareilly","52.2 (2017)"
"Auraiya","66.7 (2017)"
"Banda","34.6 (2017)"
"Bara banki","65.4 (2017)"
"Bahraich","34.3 (2017)"
"Balrampur","53.7 (2017)"
"Basti","65.1 (2017)"
"Azamgarh","59.8 (2017)"
"Ballia","61.2 (2017)"
"Ghaziabad","52.2 (2017)"
"Gautam Buddha Nagar","56.5 (2017)"
"Bulandshahr","38 (2017)"
"Firozabad","47 (2017)"
"Farrukhabad","57.9 (2017)"
"Etawah","57.9 (2017)"
"Chitrakoot","58.4 (2017)"
"Fatehpur","63.8 (2017)"
"Faizabad","52 (2017)"
"Deoria","50.8 (2017)"
"Ghazipur","25.6 (2017)"
"Chandauli","60.3 (2017)"
"Etah","24.1 (2017)"
"Hathras","63.2 (2017)"
"Hardoi","36.7 (2017)"
"Kannauj","17.7 (2017)"
"Kanpur Dehat","58 (2017)"
"Kanpur Nagar","21 (2017)"
"Jalaun","64.6 (2017)"
"Jhansi","53.5 (2017)"
"Hamirpur","55.6 (2017)"
"Gonda","59.7 (2017)"
"Gorakhpur","52.3 (2017)"
"Jaunpur","63 (2017)"
"Kasganj","51.4 (2017)"
"Muzaffarnagar","50.9 (2017)"
"Moradabad","48.3 (2017)"
"Meerut","56.4 (2017)"
"Mathura","62.5 (2017)"
"Mainpuri","61.1 (2017)"
"Kheri","41.9 (2017)"
"Lucknow","52.1 (2017)"
"Lalitpur","57.9 (2017)"
"Mahoba","49.4 (2017)"
"Kaushambi","58.9 (2017)"
"Mahrajganj","37.7 (2017)"
"Kushinagar","56.4 (2017)"
"Mau","41.8 (2017)"
"Mirzapur","31.8 (2017)"
"Saharanpur","51.3 (2017)"
"Rampur","48.9 (2017)"
"Pilibhit","60.6 (2017)"
"Shahjahanpur","54.3 (2017)"
"Sitapur","49.2 (2017)"
"Rae Bareli","57 (2017)"
"Pratapgarh","56.2 (2017)"
"Sultanpur","56.6 (2017)"
"Shrawasti","52.9 (2017)"
"Siddharth Nagar","57.4 (2017)"
"Sant Kabir Nagar","52.6 (2017)"
"Sant Ravidas Nagar (Bhadohi)","63.4 (2017)"
"Sonbhadra","50.9 (2017)"
"Unnao","54 (2017)"
"Varanasi","35.4 (2017)"
