"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Aligarh","58.3 (2017)"
"Agra","53.8 (2017)"
"Allahabad","56.3 (2017)"
"Ambedkar Nagar","66.8 (2017)"
"Bijnor","59 (2017)"
"Amroha","58.2 (2017)"
"Baghpat","54.2 (2017)"
"Budaun","48.7 (2017)"
"Bareilly","53.3 (2017)"
"Auraiya","64 (2017)"
"Banda","34.7 (2017)"
"Bara banki","65 (2017)"
"Bahraich","38 (2017)"
"Balrampur","52.8 (2017)"
"Basti","64.9 (2017)"
"Azamgarh","57.2 (2017)"
"Ballia","60.5 (2017)"
"Ghaziabad","55.4 (2017)"
"Gautam Buddha Nagar","56 (2017)"
"Bulandshahr","38.4 (2017)"
"Firozabad","43.3 (2017)"
"Farrukhabad","57.6 (2017)"
"Etawah","60.1 (2017)"
"Chitrakoot","54.2 (2017)"
"Fatehpur","63.7 (2017)"
"Faizabad","52.8 (2017)"
"Deoria","48.4 (2017)"
"Ghazipur","24.7 (2017)"
"Chandauli","56.6 (2017)"
"Etah","23.8 (2017)"
"Hathras","62.6 (2017)"
"Hardoi","36.6 (2017)"
"Kannauj","20 (2017)"
"Kanpur Dehat","59.1 (2017)"
"Kanpur Nagar","20.8 (2017)"
"Jalaun","63.3 (2017)"
"Jhansi","54.6 (2017)"
"Hamirpur","54.6 (2017)"
"Gonda","59.2 (2017)"
"Gorakhpur","50.9 (2017)"
"Jaunpur","61.8 (2017)"
"Kasganj","50.8 (2017)"
"Muzaffarnagar","50 (2017)"
"Moradabad","45.9 (2017)"
"Meerut","55.2 (2017)"
"Mathura","61.4 (2017)"
"Mainpuri","61.5 (2017)"
"Kheri","42.8 (2017)"
"Lucknow","51.7 (2017)"
"Lalitpur","58.4 (2017)"
"Mahoba","48.4 (2017)"
"Kaushambi","57.9 (2017)"
"Mahrajganj","37.6 (2017)"
"Kushinagar","50.9 (2017)"
"Mau","43.4 (2017)"
"Mirzapur","30.8 (2017)"
"Saharanpur","49.8 (2017)"
"Rampur","48.7 (2017)"
"Pilibhit","60.7 (2017)"
"Shahjahanpur","53.6 (2017)"
"Sitapur","48.5 (2017)"
"Rae Bareli","55.8 (2017)"
"Pratapgarh","57.8 (2017)"
"Sultanpur","57.5 (2017)"
"Shrawasti","48.4 (2017)"
"Siddharth Nagar","55.9 (2017)"
"Sant Kabir Nagar","53.8 (2017)"
"Sant Ravidas Nagar (Bhadohi)","61.2 (2017)"
"Sonbhadra","51.1 (2017)"
"Unnao","56.5 (2017)"
"Varanasi","34.5 (2017)"
